zoning_authority_ar,project_status,developer_name,master_developer_number,project_type_ar,project_classification_ar,area_id,project_name,project_end_date,escrow_agent_name,no_of_buildings,project_id,project_status_ar,developer_number,developer_id,project_start_date,project_type_id,no_of_lands,master_project_en,no_of_units,no_of_villas,project_classification_id,area_name_en,property_id,cancellation_date,zoning_authority_id,percent_completed,master_developer_id,escrow_agent_id,area_name_ar,project_number,project_description_en,master_developer_name,zoning_authority_en,completion_date,master_project_ar,project_description_ar
"سلطة دبي للتطوير","FINISHED","نشاما للعقارات لمالكها نشمي ديفلوبمنت شركة الشخص الواحد ش.ذ.م.م","1162","عادي","مباني","507","ليفا","2025-09-30","بنك أبوظبي الأول ش.م.ع.","1","447744766","منجز","1162","41647020","2023-02-28","1","0","TOWN SQUARE","484","0","1","Al Yelayiss 2","1366347312","null","2","100","41647020","19","اليلايس 2","2492","G+P+10+R Residential+Retail,The project designed to have a concrete structure and block with internal and external finishes.","نشاما للعقارات لمالكها نشمي ديفلوبمنت شركة الشخص الواحد ش.ذ.م.م","Dubai Development Authority (DDA)","2025-09-30","تاون سكوير","N/A"
"تراخيص","FINISHED","شركة نخيل (ش.م.خ)","100","عادي","مباني","410","مساكن فيسروى للفنادق والمنتجعات","2016-11-14","بنك الصين الصناعى والتجارى المحدود - فرع ابوظبى","1","7900151","منجز","949","7853293","2013-05-27","1","0","Palm Jumeirah","708","0","1","Palm Jumeirah","106966301","null","4","100","100","8168715","نخلة جميرا","1344","The project is a hotel located in palm jumeira. Designed as (2B+G+proposed 17 floors) to be built as a concrete skeleton and block works with external and internal finishing. ","شركة نخيل (ش.م.خ)","Trakhees","2016-11-14","نخلة جميرا","مشروع فندق يقع في منطقة نخلة جميرا. يتالف المشروع من 2 سرداب و أرضي و مقترح 17 دور متكرر ، مصممة من هيكل خرساني وكتل طابوقية (بلوك) مع انهاءاته الداخلية والخارجية.     "
"بلدية دبي","ACTIVE","اعمار العقارية (ش . م. ع)","555","عادي","مباني","390","ذا ريزيدنس | برج خليفة","2024-12-31","بنك دبي الاسلامي (شركة مساهمة عامة)","2","434404087","فعال","555","555","2023-03-21","1","0","DownTown Dubai","35","0","1","Burj Khalifa","1242569186","null","1","80","555","1","برج خليفة","2443","2B+CC+G+M+12 Floors + R Residential,The project designed to have a concrete structure and block with internal and external finishes.","اعمار العقارية (ش . م. ع)","Dubai Municipality","2024-12-31","داون تاون دبي","N/A"
"تراخيص","ACTIVE","الفرجان ( ش.ذ.م.م )","121","عادي","مباني","445","فالوريس رسيدانس","2026-08-31","بنك المشرق (شركة مساهمة عامة)","1","609940790","فعال","1858","588399103","2024-08-31","1","0","Al Furjan","90","0","1","Jabal Ali First","934374764","null","4","40","121","33","جبل علي الأولى","3068","Retail And Residential Building (G+2P+7+R).The project designed to have a concrete structure and block with internal and external finishes.","الفرجان ( ش.ذ.م.م )","Trakhees","null","الفرجان","N/A  "
"سلطة دبي للتطوير","NOT_STARTED","دبي للعقارات (ش.ذ.م.م)","850","عادي","فلل","451","ريبورتاج هيلز ","2028-06-30","بنك دبي التجاري (ش.م.ع)","0","699001247","تحت الانشاء","1277","264995823","2025-06-30","1","40","","0","902","2","Al Hebiah Fifth","1043439876","null","2","0","850","10","الحبيه الخامسة","3465","259 villas","دبي للعقارات (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","","259فيلا "
"سلطة دبي للتطوير","NOT_STARTED","ماجد الفطيم لتشغيل مشاريع المدن المتكاملة الاماراتية ش.ذ.م.م","1227","عادي","مباني","466","لاسينا","2027-12-30","بنك الإمارات دبي الوطني (ش.م.ع)","3","669517874","تحت الانشاء","1441","424458773","2024-12-01","1","0","","324","0","1","Wadi Al Safa 4","381834001","null","2","0","159428374","7","وادي الصفا 4","3336","The project contains three buildings shared on ground and podium floors.he project designed to have a concrete structure and block with internal and external finishes.  Building 01:   Consist of G+P+l0 floors and includes 125 units (79 apartments lBR and 46 apartments 2BR)   Building 02:   Consist of G+P+ll floors and includes 74 units (48 apartments 2BR and 26 apartments 3BR)   Building 03:   Consist of G+P+l0 floors and includes 125 units (79 apartments lBR and 46 apartments 2BR)","ماجد الفطيم لتشغيل مشاريع المدن المتكاملة الاماراتية ش.ذ.م.م","Dubai Development Authority (DDA)","null","","يتكون المشروع من ثلاثة مبانى مشتركة بالطابق الارضى وطابق البوديوم   المبنى 01: يتكون من طابق أرضي +بوديوم +10 طوابق متكررة، ويشمل 125 وحدة سكنية (79 شقة من غرفة وصالة و46 شقة من غرفتين وصالة ).    المبنى 02: يتكون من طابق أرضي +بوديوم و11 طابقًا، ويشمل 74 وحدة سكنية (48 شقة من غرفتين وصالة و26 شقة من ثلاث غرف وصالة).    المبنى 03: يتكون من طابق أرضي +بوديوم و10 طوابق، ويشمل 125 وحدة سكنية (79 شقة من غرفة نوم وصالة و46 شقة من غرفتين وصالة)  "
"بلدية دبي","FINISHED","دبي للاستثمار العقاري (ش ذ م م)","278","عادي","مباني","232","تلال مردف - نسايم افنيو","2020-03-03","بنك أبوظبي الأول ش.م.ع.","3","43654242","منجز","278","278","2016-11-21","1","0","","407","0","1","Mirdif","1313829115","null","1","100","278","19","مردف","1834"," mixed use 5 buildings consist of B+G+4+R,  ","دبي للاستثمار العقاري (ش ذ م م)","Dubai Municipality","2020-03-03","","عدد 5 بنايات تجاري / سكني ((سرادب + اراضي+ 4 طوابق + سطح)  "
"تراخيص","ACTIVE","شركة نخيل (ش.م.خ)","100","عادي","مباني","442","لومينار تاور تو","2026-10-27","مصرف ابوظبى الاسلامى","1","659730462","فعال","1894","598507465","2024-08-27","1","0","Jumeirah Village Triangle","168","0","1","Al Barsha South Fifth","1556053958","null","4","13","100","4","البرشاء جنوب الخامسة","3298","B+G+5P+19+R RESIDENTIAL BUILDING W/ RETAIL AT GROUND.The project designed to have a concrete structure and block with internal and external finishes.","شركة نخيل (ش.م.خ)","Trakhees","null","قرية جميرا المثلثة","n/a"
"سلطة دبي للتطوير","FINISHED","إعمار للتطوير (مساهمة عامة)","1211","عادي","مجمع فلل","467","المرابع العربية ااا - جون 2","2024-10-31","بنك ابوظبى التجارى","0","372790670","منجز","1211","137044480","2022-02-10","1","17","","0","35","3","Wadi Al Safa 5","1480458739","null","2","100","137044480","5","وادي الصفا 5","2281","35 (G+1+R &G+2+R), semi attached villas Villas, The project designed to have a concrete structure and block with internal and external finishes.","إعمار للتطوير (مساهمة عامة)","Dubai Development Authority (DDA)","2024-10-31","","N/A"
"سلطة دبي للتطوير","PENDING","دى اتش ايه ام منطقه حره - ذ.م.م","914","عادي","مباني","485","جولف تريسز","2026-12-31","بنك المشرق (شركة مساهمة عامة)","1","688502633","قيد التسجيل","2098","674726958","2025-06-01","1","0","International Media Production Zone","60","0","1","Me'Aisem First","19535117","null","2","0","914","33","معيصم الأول","3429","G+7+R","دى اتش ايه ام منطقه حره - ذ.م.م","Dubai Development Authority (DDA)","null","المنطقة العالمية للإنتاج الإعلامي","G+7+R"
"بلدية دبي","ACTIVE","شوبا ش.ذ.م.م","966","عادي","مباني","412","ذا هايبري","null","بنك دبي التجاري (ش.م.ع)","1","499374379","فعال","1117","27458061","2023-04-17","1","0","SOBHA HARTLAND","342","0","1","Al Merkadh","991260286","null","1","37","10097270","10","المركاض","2641","G+1P+30F+R , The project designed to have a concrete structure and block with internal and external finishes.","شوبا ش.ذ.م.م","Dubai Municipality","null","شوبها هارتلاند","N/A"
"بلدية دبي","ACTIVE","اعمار العقارية (ش . م. ع)","555","عادي","فلل","486","ذا اويسيس - بالمييرا","null","بنك الإمارات دبي الوطني (ش.م.ع)","0","525244178","فعال","555","555","2023-08-14","1","264","","0","0","2","Me'Aisem Second","594316196","null","1","34","555","7","معيصم الثانية","2732","Consisting of 254 units (G + 2).The project designed to have a concrete structure and block with internal and external finishes.","اعمار العقارية (ش . م. ع)","Dubai Municipality","null","","N/A"
"سلطة دبي للتطوير","ACTIVE","إعمار للتطوير (مساهمة عامة)","1211","عادي","مباني","390","اكسكوزيت ليفينج ريذيدنسز ","2025-12-31","بنك الإمارات دبي الوطني (ش.م.ع)","1","462463162","فعال","1380","381273205","2022-12-07","1","0","DownTown Dubai","234","0","1","Burj Khalifa","633710530","null","2","81","137044480","7","برج خليفة","2527","B+G+M+4P+55+R ,Residential.The project designed to have a concrete structure and block with internal and external finishes.","إعمار للتطوير (مساهمة عامة)","Dubai Development Authority (DDA)","2025-12-31","داون تاون دبي","N/A"
"سلطة دبي للتطوير","FINISHED","ليوان(ش.ذ.م.م.)","1121","عادي","مباني","409","فينيستور بينيسيري","2023-01-09","بنك المشرق (شركة مساهمة عامة)","2","245380566","منجز","1118","27602697","2019-06-01","1","0","Arjan","419","0","1","Al Barshaa South Third","709256838","null","2","100","27962557","33","البرشاء جنوب الثالثة","2149","Building 1: G+2F+R , Building 2: G+6F+R Residential & Retail,The project designed to have a concrete structure and block with internal and external finishes.","ليوان(ش.ذ.م.م.)","Dubai Development Authority (DDA)","2023-01-09","أرجان","N/A"
"سلطة دبي للتطوير","ACTIVE","الاتحاد العقارية (شركة مساهمة عامة)","27","عادي","مباني","444","شوبا أوربيس","2028-12-31","بنك دبي الاسلامي (شركة مساهمة عامة)","8","610098793","فعال","966","10097270","2024-06-01","1","0","Motor City","2995","0","1","Al Hebiah First","1115473082","null","2","6","27","1","الحبيه الاولى","3070","Residential and commercial development consists of 7 buildings with shared podium (2B+G+4Podium)   Building 1 (Tower A): 30F+2MECH+R  Building 2 (Tower B): 30F+1MECH+R   Building 3 (Tower C): 16F+R  Building 4 (Tower D): 19F+R   Building 5 (Tower E): 41F+3MECH+R   Building 6 (Tower F): 19F+R   Building 7 (Tower G): 16F+R","الاتحاد العقارية (شركة مساهمة عامة)","Dubai Development Authority (DDA)","2028-12-31","موتور ستي","تطوير سكني وتجاري يتكون من 7 مبانٍ مع بوديوم  مشترك   (2 طابق سرداب + طابق أرضي + 4 طوابق بوديوم )   المبنى 1(البرجA): 30 طابق + طابقين ميكانيك + السطح  المبنى 2(البرجB): 30 طابق + طابق ميكانيك + السطح  المبنى3( البرج C ): 16طابق + السطح  المبنى 4(البرج D): 19طابق + السطح  المبنى 5( البرجE): 41  طابق + 3 طوابق ميكانيك + السطح  المبنى6(البرج F): 19 طابق + السطح  المبنى 7(البرج G): 16طابق + السطح"
