permit_renewal_date,approval_date,total_area,application_type_arabic,parcel_id,application_id,building_count,load_timestamp,permit_no,application_type_english,application_status_arabic,project_no,application_submission_date,permit_date,application_status_english,building_type
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","1330140","286189","0","2026-01-26 19:00:00","162721-4-1","Adjustment and Addition Permit Simple (Owners)","معادة","162721","2008-12-25","null","RETURNED","Multi Storey"
"null","2015-04-29","0","طلب مخططات البناء","2150345","797357","0","2026-01-26 19:00:00","263467-1-1","Apply for Buildings Drawings","معتمدة","263467","2015-04-28","null","Approved","null"
"null","null","0","طلب تصريح اشغال مؤقت للأراضي","9229083","1117020","0","2026-01-26 19:00:00","309363-2-1","Temporary permit to Occupy Parcel","معادة","309363","2017-09-24","null","RETURNED","null"
"null","2020-11-24","0","إستثناءات","3456903","1394277","0","2026-01-26 19:00:00","296579-63-1","Request for Exceptions","معتمدة","296579","2020-11-02","null","Approved","Floor Area Ratio"
"null","2016-01-06","0","إستثناءات","3881296","877468","0","2026-01-26 19:00:00","272624-2-1","Request for Exceptions","معتمدة","272624","2016-01-03","null","Approved","Investment Villa"
"null","null","219","تقديم نهائي \ تعديلات أو أضافات","5970201","1804959","0","2026-01-26 19:00:00","448821-1-4","Final-Adjustment/Addition","معادة","448821","2025-06-10","null","RETURNED","Industrial Building"
"null","2008-10-23","0","ترخيص اعمال ديكور عادى","6131055","274378","0","2026-01-26 19:00:00","159030-3-2","Normal Decor Permit","الرخصة مسلمة","159030","2008-10-22","2009-01-07","Permit Delivered","Industrial Building"
"null","2002-08-11","0","تقديم نهائي \ تعديلات أو أضافات","3761193","108739","0","2026-01-26 19:00:00","106859-1-1","Final-Adjustment/Addition","الرخصة مسلمة","106859","2002-08-10","2002-08-13","Permit Delivered","null"
"null","2009-08-16","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6150105","338479","0","2026-01-26 19:00:00","166980-7-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","166980","2009-08-13","2009-08-16","Permit Delivered","Private Villa"
"null","null","0","ترخيص اعمال ديكور عادى","3360209","962596","0","2026-01-26 19:00:00","291006-2-1","Normal Decor Permit","معادة","291006","2016-08-15","null","RETURNED","Multi Storey"
"null","2016-05-04","0","الحصول على المنسوب المرجعي لمدخل المبنى","6714033","926065","0","2026-01-26 19:00:00","285334-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","285334","2016-05-03","null","Approved","null"
"null","null","223","تقديم أولي \ مبنى جديد","9252307","1832101","0","2026-01-26 19:00:00","460614-1-1","Preliminary-New Building","لا مانع من التقديم النهائي","460614","2025-08-29","null","No objection for final submission","Private Villa"
"null","2008-01-29","0","تقديم نهائي \ تعديلات أو أضافات","2410195","219276","0","2026-01-26 19:00:00","133739-10-1","Final-Adjustment/Addition","الرخصة مسلمة","133739","2008-01-07","2008-01-30","Permit Delivered","Multi Storey"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3540999","1539390","0","2026-01-26 19:00:00","392498-1-1","Adjustment and Addition Permit Simple (Owners)","معادة","392498","2022-11-14","null","RETURNED","Industrial Building"
"null","2022-11-21","685","تقديم نهائي \ مبنى جديد","7114518","1540427","1","2026-01-26 19:00:00","391912-2-2","Final-New Building","الرخصة مسلمة","391912","2022-11-20","2023-09-27","Permit Delivered","Private Villa"
"null","2016-04-10","0","إلغاء رخصة (قبل بدء العمل)","3180825","910079","0","2026-01-26 19:00:00","142410-2-1","Permit Cancellation (before start of work)","معتمدة","142410","2016-04-05","null","Approved","null"
"null","2013-10-08","0","تقديم نهائي \ تعديلات أو أضافات","6821385","652547","0","2026-01-26 19:00:00","147026-8-1","Final-Adjustment/Addition","الرخصة مسلمة","147026","2013-09-26","2014-06-08","Permit Delivered","Floor Area Ratio"
"null","2022-07-26","0","الترخيص الذاتي للديكور","2480217","1514252","0","2026-01-26 19:00:00","386687-1-1","Decor Self Permitting","الرخصة مسلمة","386687","2022-07-26","2022-07-27","Permit Delivered","Industrial Building"
"null","2016-07-11","0","إلغاء  معاملة ترخيص","5998986","949398","0","2026-01-26 19:00:00","251906-18-1","Permit Application Cancellation","معتمدة","251906","2016-07-11","null","Approved","null"
"null","2017-08-08","0","إلغاء  معاملة ترخيص","3920472","1100146","0","2026-01-26 19:00:00","290346-5-1","Permit Application Cancellation","معتمدة","290346","2017-08-07","null","Approved","null"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3350139","1828363","0","2026-01-26 19:00:00","456664-3-1","Final-Adjustment/Addition","معادة","456664","2025-08-20","null","RETURNED","Multi Storey"
"null","2008-02-02","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3580574","219793","0","2026-01-26 19:00:00","124455-9-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","124455","2008-01-28","2008-04-17","Permit Delivered","Multi Storey"
"null","2015-07-09","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","8140188","821469","0","2026-01-26 19:00:00","265904-2-1","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","265904","2015-07-07","2016-03-14","Permit Delivered","Industrial Building"
"null","2019-03-27","0","تقديم نهائي \ تعديلات أو أضافات","8918354","1283672","0","2026-01-26 19:00:00","277645-4-1","Final-Adjustment/Addition","الرخصة مسلمة","277645","2019-03-14","2019-03-27","Permit Delivered","Private Villa"
"null","null","446","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","4231365","387318","0","2026-01-26 19:00:00","178948-3-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معاملة معادة ملغاة","178948","2010-03-28","null","Returned Application Cancelled","Private Villa"
"null","2015-02-08","0","ترخيص اعمال ديكور عادى","1180867","772852","0","2026-01-26 19:00:00","258542-1-1","Normal Decor Permit","الرخصة مسلمة","258542","2015-02-02","2015-02-09","Permit Delivered","Multi Storey"
"null","null","1594","تقديم نهائي \ تعديلات أو أضافات","3320600","501664","0","2026-01-26 19:00:00","195306-7-1","Final-Adjustment/Addition","معادة","195306","2011-10-01","null","RETURNED","Multi Storey"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","2512780","759883","0","2026-01-26 19:00:00","216280-4-1","Adjustment and Addition Permit Simple (Owners)","معادة","216280","2014-12-23","null","RETURNED","Multi Storey"
"null","2022-03-14","0","تقديم نهائي \ تعديلات أو أضافات","3456903","1486594","0","2026-01-26 19:00:00","296579-81-1","Final-Adjustment/Addition","الرخصة مسلمة","296579","2022-03-10","2022-03-14","Permit Delivered","Floor Area Ratio"
"null","2019-02-13","0","تقديم نهائي \ تعديلات أو أضافات","4168081","1274196","0","2026-01-26 19:00:00","318836-15-1","Final-Adjustment/Addition","الرخصة مسلمة","318836","2019-02-05","2019-02-17","Permit Delivered","Floor Area Ratio"
"null","2008-03-27","1205","تقديم نهائي \ مبنى جديد","2511639","226070","7","2026-01-26 19:00:00","147803-2-2","Final-New Building","الرخصة مسلمة","147803","2008-02-27","2008-05-25","Permit Delivered","Investment Villa"
"null","2017-04-02","217","تقديم نهائي \ تعديلات أو أضافات","6131023","1048117","1","2026-01-26 19:00:00","303124-1-2","Final-Adjustment/Addition","الرخصة مسلمة","303124","2017-03-22","2017-09-28","Permit Delivered","Industrial Building"
"null","2023-06-07","0","طلب مخططات البناء","2620627","1588520","0","2026-01-26 19:00:00","403397-1-1","Apply for Buildings Drawings","معتمدة","403397","2023-06-06","null","Approved","Private Villa"
"null","2011-12-18","0","تقديم نهائي \ تعديلات أو أضافات","5970377","514873","0","2026-01-26 19:00:00","185826-5-1","Final-Adjustment/Addition","الرخصة مسلمة","185826","2011-12-13","2011-12-19","Permit Delivered","Industrial Building"
"null","2017-06-07","0","الحصول على المنسوب المرجعي لمدخل المبنى","5130188","1078293","0","2026-01-26 19:00:00","309721-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","309721","2017-06-07","null","Approved","null"
"null","2014-08-27","578","تقديم نهائي \ مبنى جديد","6488228","724796","1","2026-01-26 19:00:00","246763-1-3","Final-New Building","الرخصة مسلمة","246763","2014-08-10","2015-05-07","Permit Delivered","Private Villa"
"null","2010-02-08","0","الحصول على المنسوب المرجعي لمدخل المبنى","5991791","373961","0","2026-01-26 19:00:00","183111-1-2","Obtain the Gate Level of a Building Entrance","معتمدة","183111","2010-02-02","null","Approved","null"
"null","2024-03-26","127","تقديم نهائي \ مبنى جديد","3230809","1669034","1","2026-01-26 19:00:00","421590-2-3","Final-New Building","الرخصة مسلمة","421590","2024-03-22","2024-05-12","Permit Delivered","Private Villa"
"null","null","0","طلب مخططات البناء","2820525","1541346","0","2026-01-26 19:00:00","392800-1-2","Apply for Buildings Drawings","معاملة معادة ملغاة","392800","2022-11-22","null","Returned Application Cancelled","null"
"null","2014-07-15","0","تقديم نهائي - ترخيص اعمال الحفر وتدعيم الحفر ونضح المياه","3261442","718878","0","2026-01-26 19:00:00","216323-12-3","Final Arrangement and Digging","الرخصة مسلمة","216323","2014-07-10","2014-08-06","Permit Delivered","Floor Area Ratio"
"null","2012-01-09","0","إلغاء  معاملة ترخيص","3680217","519023","0","2026-01-26 19:00:00","145889-17-1","Permit Application Cancellation","معتمدة","145889","2012-01-09","null","Approved","null"
"null","null","0","ترخيص اعمال ديكور عادى","3120802","340171","0","2026-01-26 19:00:00","177109-1-1","Normal Decor Permit","معادة","177109","2009-09-10","null","RETURNED","Multi Storey"
"null","2007-06-03","151","تقديم نهائي \ تعديلات أو أضافات","3762073","185072","0","2026-01-26 19:00:00","139558-1-2","Final-Adjustment/Addition","الرخصة مسلمة","139558","2007-05-24","2007-06-03","Permit Delivered","Private Villa"
"null","null","113","تقديم نهائي \ تعديلات أو أضافات","6820159","458938","0","2026-01-26 19:00:00","153158-13-1","Final-Adjustment/Addition","معادة","153158","2011-03-30","null","RETURNED","Floor Area Ratio"
"null","2001-07-18","0","تقديم نهائي \ تعديلات أو أضافات","1240519","32768","0","2026-01-26 19:00:00","30888-1-1","Final-Adjustment/Addition","الرخصة مسلمة","30888","2001-07-18","2001-07-21","Permit Delivered","null"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","6820117","470014","0","2026-01-26 19:00:00","148929-34-2","Final-Adjustment/Addition","معادة","148929","2011-04-13","null","RETURNED","Multi Storey"
"null","2024-06-11","0","طلب مخططات البناء","3541000","1687803","0","2026-01-26 19:00:00","428141-1-2","Apply for Buildings Drawings","معتمدة","428141","2024-06-11","null","Approved","Public Building"
"null","2022-06-09","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3420292","1503391","0","2026-01-26 19:00:00","371906-5-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","371906","2022-06-07","2022-06-09","Permit Delivered","Private Villa"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","1290699","586021","0","2026-01-26 19:00:00","199964-5-1","Final-Adjustment/Addition","معادة","199964","2012-12-11","null","RETURNED","Multi Storey"
"null","2025-08-28","-78","تقديم نهائي \ تعديلات أو أضافات","5990353","1828033","0","2026-01-26 19:00:00","341023-22-1","Final-Adjustment/Addition","الرخصة مسلمة","341023","2025-08-22","2025-09-11","Permit Delivered","Industrial Building"
